SegmentedFilename,FishDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,ScaleDetected
20240801105650600_sardine_good.jpeg,no,,,,,,,,,,,,
20240801112950486_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,2.0,0.005151098901098901,43.0,44.0,0.23529411764705882,1.037241780622636,0.2338425,yes
20240801113001275_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,2.0,0.005787037037037037,45.0,49.0,0.2222222222222222,1.0232198142414861,0.2038861111111111,yes
20240801113014596_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,3.0,0.005197505197505198,42.0,43.0,0.23529411764705882,1.0384160756501182,0.22549208333333334,yes
20240801113036068_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,1.0,0.005403458213256484,43.0,43.0,0.16666666666666666,1.0218150087260034,0.2082886111111111,yes
20240801113703572_sardine_good_(0).png,yes,17.0,3.0,18.0,15.0,1.0,0.005305978068623983,43.0,48.0,0.17647058823529413,1.0235081374321882,0.24120534722222223,yes
20240801113715154_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,2.0,0.005795981452859351,42.0,45.0,0.23529411764705882,1.0260125123477115,0.190065625,yes
20240801113715154_sardine_good_(1).png,yes,1.0,1.0,1.0,15.0,2.0,0.005795981452859351,4.0,1.0,1.0,1.2076923076923076,0.004957986111111111,yes
20240801113716273_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,2.0,0.005795981452859351,42.0,45.0,0.23529411764705882,1.0260125123477115,0.190065625,yes
20240801113716273_sardine_good_(1).png,yes,1.0,1.0,1.0,15.0,2.0,0.005795981452859351,4.0,1.0,1.0,1.2076923076923076,0.004957986111111111,yes
20240801113737868_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,2.0,0.005384063173007897,44.0,45.0,0.23529411764705882,1.02557856272838,0.218203125,yes
20240801113750301_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.005405405405405406,41.0,43.0,0.1875,1.0280250576986483,0.2085625,yes
20240801114508467_sardine_good_(0).png,yes,21.0,4.0,21.0,15.0,2.0,0.006726457399103139,53.0,61.0,0.19047619047619047,1.0213989140849569,0.1884125,yes
20240801114523167_sardine_good_(0).png,yes,21.0,4.0,22.0,15.0,2.0,0.0066607460035523975,54.0,67.0,0.19047619047619047,1.0203957382039575,0.2115576388888889,yes
20240803092846703_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.004163197335553705,41.0,43.0,0.1875,1.0258179959100204,0.19973071416219076,yes
20240803092901773_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.004359197907585004,38.0,43.0,0.1875,1.027055987141709,0.18050952752431235,yes
20240803092950113_sardine_good_(0).png,yes,18.0,3.0,19.0,15.0,2.0,0.004909983633387889,46.0,44.0,0.16666666666666666,1.0215732701920548,0.1476421356201172,yes
20240803093004967_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,2.0,0.004859086491739553,43.0,48.0,0.16666666666666666,1.0234817813765182,0.16320510705312094,yes
20240803093124123_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803093142725_sardine_good_(0).png,yes,16.0,4.0,16.0,15.0,2.0,0.004170141784820684,38.0,53.0,0.25,1.0408580183861083,0.24603915214538574,yes
20240803093400101_sardine_good_(0).png,yes,20.0,4.0,20.0,15.0,1.0,0.005005005005005005,49.0,56.0,0.2,1.0265486725663717,0.1780095100402832,yes
20240803093409035_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803093418705_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.004955401387512388,44.0,48.0,0.2222222222222222,1.0238805970149254,0.156609574953715,yes
20240803093427564_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,2.0,0.00510204081632653,47.0,47.0,0.2222222222222222,1.023083264633141,0.1435682773590088,yes
20240803093448293_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803093500054_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803093510143_sardine_good_(0).png,yes,19.0,5.0,20.0,15.0,2.0,0.00492772667542707,50.0,51.0,0.2631578947368421,1.0347152847152847,0.16925362745920816,yes
20240803093518992_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,2.0,0.004623921085080148,43.0,45.0,0.25,1.0324515953095172,0.16801079114278158,yes
20240803093531427_sardine_good_(0).png,yes,19.0,7.0,21.0,15.0,2.0,0.005107252298263534,51.0,58.0,0.3684210526315789,1.0687708493713113,0.1773903767267863,yes
20240803093539406_sardine_good_(0).png,yes,16.0,5.0,17.0,15.0,1.0,0.0046353522867737945,42.0,40.0,0.3125,1.054177359566581,0.14969376722971597,yes
20240803093549939_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803093636185_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,1.0,0.0051813471502590676,46.0,52.0,0.2777777777777778,1.035258189894503,0.15402289231618246,yes
20240803093645503_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.004813863928112966,44.0,50.0,0.23529411764705882,1.0246847330292461,0.1729062795639038,yes
20240803093703778_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.004622496147919877,40.0,40.0,0.1875,1.0256049521665729,0.15006029605865479,yes
20240803093712479_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803093721113_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803093729638_sardine_good_(0).png,yes,20.0,5.0,21.0,15.0,3.0,0.00508646998982706,50.0,61.0,0.25,1.0359413202933985,0.18996493021647134,yes
20240803093738862_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803093752777_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.004601226993865031,43.0,47.0,0.23529411764705882,1.0276388523295603,0.17946394284566244,yes
20240803093801604_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004519433564326604,40.0,43.0,0.1875,1.0248246087425796,0.17033950487772623,yes
20240803093811066_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004548211036992117,39.0,37.0,0.1875,1.0212302667392488,0.14264333248138428,yes
20240803093830492_sardine_good_(0).png,yes,18.0,6.0,19.0,15.0,1.0,0.0045303533675626695,45.0,46.0,0.3333333333333333,1.0534521158129175,0.18128828207651773,yes
20240803093830602_sardine_good_(0).png,yes,18.0,6.0,19.0,15.0,1.0,0.0045303533675626695,45.0,46.0,0.3333333333333333,1.0534521158129175,0.18128828207651773,yes
20240803093841770_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,3.0,0.0046641791044776115,41.0,43.0,0.25,1.0342600393147992,0.16038604577382407,yes
20240803093850972_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803093858749_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,3.0,0.005008347245409015,48.0,57.0,0.2777777777777778,1.0477453580901857,0.18251987298329672,yes
20240803093911387_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.0048828125,44.0,40.0,0.23529411764705882,1.0339514978601998,0.13446664810180664,yes
20240803093937379_sardine_good_(0).png,yes,15.0,3.0,16.0,15.0,2.0,0.0042686397268070575,40.0,43.0,0.2,1.0296760141573646,0.18839848041534424,yes
20240803094000299_sardine_good_(0).png,yes,17.0,5.0,18.0,15.0,1.0,0.004766444232602479,45.0,48.0,0.29411764705882354,1.041633518960488,0.16849990685780844,yes
20240803094014224_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.004484304932735426,42.0,47.0,0.23529411764705882,1.027061855670103,0.18716533978780112,yes
20240803094656784_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.0045857535921736475,40.0,40.0,0.1875,1.02248126561199,0.1528578201929728,yes
20240803094705365_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803094927244_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803094936612_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,2.0,0.004919645785503444,45.0,51.0,0.2222222222222222,1.0278149237764107,0.16823832194010416,yes
20240803094947394_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004317789291882556,38.0,41.0,0.1875,1.0232,0.17636307080586752,yes
20240803094955800_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,1.0,0.004901960784313725,47.0,49.0,0.2222222222222222,1.0278925619834711,0.1630384922027588,yes
20240803095049829_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803095101195_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004898758981058132,41.0,44.0,0.1875,1.0275922160906186,0.14693315823872885,yes
20240803095112899_sardine_good_(0).png,yes,15.0,4.0,15.0,15.0,1.0,0.004193458205199888,38.0,39.0,0.26666666666666666,1.0345110928512735,0.17642597357432047,yes
20240803095126243_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004700720777185835,41.0,42.0,0.1875,1.0261474269819193,0.152756134668986,yes
20240803095303109_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,1.0,0.004220596510973551,41.0,44.0,0.17647058823529413,1.0242587601078168,0.1993857224782308,yes
20240803095912468_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803095924823_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240803095935116_sardine_good_(0).png,yes,19.0,6.0,20.0,15.0,2.0,0.004684572142410993,49.0,61.0,0.3157894736842105,1.0520273571079628,0.22115087509155273,yes
20240803095944353_sardine_good_(0).png,yes,19.0,6.0,20.0,15.0,3.0,0.004818503051718599,49.0,60.0,0.3157894736842105,1.0530712530712532,0.20667501290639242,yes
20240813113527535_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.0043821209465381246,43.0,42.0,0.17647058823529413,1.0258709016393444,0.17545040448506674,yes
20240813113528135_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.0043821209465381246,43.0,42.0,0.17647058823529413,1.0258709016393444,0.17545040448506674,yes
20240813113528581_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.0043821209465381246,43.0,42.0,0.17647058823529413,1.0258709016393444,0.17545040448506674,yes
20240813113528950_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.0043821209465381246,43.0,42.0,0.17647058823529413,1.0258709016393444,0.17545040448506674,yes
20240813113529012_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.0043821209465381246,43.0,42.0,0.17647058823529413,1.0258709016393444,0.17545040448506674,yes
20240813113529029_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.0043821209465381246,43.0,42.0,0.17647058823529413,1.0258709016393444,0.17545040448506674,yes
20240813113851925_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.004280821917808219,43.0,45.0,0.23529411764705882,1.032193661093087,0.19565133253733316,yes
20240813113903975_sardine_good_(0).png,yes,15.0,3.0,15.0,15.0,1.0,0.00377453447408153,36.0,43.0,0.2,1.0315403422982885,0.2405958573023478,yes
20240813113922596_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004078303425774877,39.0,40.0,0.1875,1.0245338567222768,0.1923676331837972,yes
20240813113922606_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004078303425774877,39.0,40.0,0.1875,1.0245338567222768,0.1923676331837972,yes
20240813113932443_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,1.0,0.004108463434675432,41.0,44.0,0.25,1.0318783717508582,0.20995446046193442,yes
20240813113953758_sardine_good_(0).png,yes,16.0,5.0,17.0,15.0,3.0,0.004355400696864111,42.0,46.0,0.3125,1.0450427129174218,0.1928222974141439,yes
20240813114009540_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,2.0,0.00429553264604811,39.0,42.0,0.1875,1.0242894056847545,0.18220500151316324,yes
20240813114010585_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,2.0,0.00429553264604811,39.0,42.0,0.1875,1.0242894056847545,0.18220500151316324,yes
20240813114021155_sardine_good_(0).png,yes,16.0,5.0,17.0,15.0,3.0,0.004352872896111433,42.0,46.0,0.3125,1.043275459963721,0.19537540276845297,yes
20240820125852060_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,2.0,0.0042686397268070575,42.0,36.0,0.1875,1.0272333927207942,0.15863891442616782,yes
20240820125902342_sardine_good_(0).png,yes,15.0,3.0,15.0,15.0,3.0,0.0040010669511869835,37.0,35.0,0.2,1.0312914346327233,0.17412304878234863,yes
20240820125911846_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,3.0,0.0047694753577106515,44.0,42.0,0.23529411764705882,1.0392318244170096,0.14791949590047201,yes
20240820125923599_sardine_good_(0).png,yes,16.0,5.0,17.0,15.0,3.0,0.004570383912248629,42.0,41.0,0.3125,1.0451839826839826,0.1572798490524292,yes
20240820130229999_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.004874878128046799,45.0,40.0,0.23529411764705882,1.0300855644493514,0.13446382681528726,yes
20240820130242899_sardine_good_(0).png,yes,16.0,5.0,16.0,15.0,2.0,0.005103776794828173,40.0,39.0,0.3125,1.0488342785129174,0.11954899628957112,yes
20240820130335171_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,2.0,0.004963600264725348,43.0,45.0,0.16666666666666666,1.0221735559813852,0.1460538705190023,yes
20240820130408037_sardine_good_(0).png,yes,17.0,5.0,18.0,15.0,4.0,0.004745333755140778,44.0,50.0,0.29411764705882354,1.040988056460369,0.17838279406229654,yes
20240820130417827_sardine_good_(0).png,yes,18.0,6.0,19.0,15.0,3.0,0.004737839545167404,46.0,47.0,0.3333333333333333,1.0550314465408805,0.16708874702453613,yes
20240820130425892_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,2.0,0.004518072289156626,43.0,45.0,0.25,1.0414216996258685,0.17762231826782227,yes
20240820130529084_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,1.0,0.004357931435212086,41.0,39.0,0.25,1.0298277192080225,0.1647184689839681,yes
20240820130539266_sardine_good_(0).png,yes,19.0,7.0,20.0,15.0,3.0,0.005252100840336135,48.0,47.0,0.3684210526315789,1.066557555919258,0.1360929012298584,yes
20240820130557223_sardine_good_(0).png,yes,18.0,5.0,18.0,15.0,4.0,0.0054132082280765065,45.0,48.0,0.2777777777777778,1.0409199522102748,0.13049658139546713,yes
20240820130758664_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,3.0,0.005095108695652174,44.0,45.0,0.2222222222222222,1.0300393037619315,0.13985160986582437,yes
20240820130811691_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,2.0,0.004786215698787492,45.0,46.0,0.2777777777777778,1.0501174628034455,0.16032822926839194,yes
20240820130822576_sardine_good_(0).png,yes,14.0,3.0,15.0,15.0,1.0,0.004254112308564946,35.0,31.0,0.21428571428571427,1.0202279202279203,0.14047507445017496,yes
20240903122216371_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.0041841004184100415,40.0,41.0,0.1875,1.0255372945638432,0.18983272711435953,yes
20240903122226302_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004108463434675432,42.0,45.0,0.1875,1.025666096308971,0.2162790298461914,yes
20240903122239746_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004111842105263158,39.0,47.0,0.1875,1.0263671875,0.22504035631815592,yes
20240903122249125_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.004422169811320755,44.0,51.0,0.23529411764705882,1.0316375601113643,0.20897833506266275,yes
20240903122259379_sardine_good_(0).png,yes,15.0,3.0,16.0,15.0,2.0,0.004093886462882096,39.0,38.0,0.2,1.0287991771663667,0.18141897519429526,yes
20240903122308314_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240903122319222_sardine_good_(0).png,yes,19.0,4.0,19.0,15.0,3.0,0.004748338081671415,47.0,56.0,0.21052631578947367,1.030612244897959,0.1994459629058838,yes
20240903122331511_sardine_good_(0).png,yes,20.0,4.0,20.0,15.0,2.0,0.005053908355795148,51.0,64.0,0.2,1.0245,0.20042439301808676,yes
20240903122340581_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.004501800720288115,45.0,49.0,0.2222222222222222,1.0336692061931678,0.19508437315622965,yes
20240903122349706_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.004509921828021648,43.0,46.0,0.23529411764705882,1.0398206751054853,0.18096721172332764,yes
20240903122432396_sardine_good_(0).png,yes,17.0,3.0,18.0,15.0,1.0,0.004580152671755725,44.0,45.0,0.17647058823529413,1.023981433728726,0.17419874668121338,yes
20240903122441277_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.0043782837127845885,41.0,45.0,0.1875,1.027350872623079,0.18664244810740152,yes
20240903122452148_sardine_good_(0).png,yes,16.0,5.0,17.0,15.0,1.0,0.004625346901017576,43.0,42.0,0.3125,1.046485888212507,0.15684143702189127,yes
20240903122504946_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240903122515781_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,1.0,0.0045509708737864075,40.0,41.0,0.25,1.033668205267445,0.160516619682312,yes
20240903122525559_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240903122533824_sardine_good_(0).png,yes,19.0,7.0,20.0,15.0,2.0,0.005016722408026756,50.0,58.0,0.3684210526315789,1.0618451316125734,0.18393580118815103,yes
20240903122542256_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240903122554559_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,1.0,0.004843396835647401,47.0,46.0,0.2222222222222222,1.026445423904589,0.1579958200454712,yes
20240903122605234_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,1.0,0.004803073967339097,45.0,48.0,0.16666666666666666,1.0220042417815483,0.16732235749562582,yes
20240903122651081_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004191114836546521,38.0,42.0,0.1875,1.0252187339166239,0.1937870979309082,yes
20240903122651745_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004191114836546521,38.0,42.0,0.1875,1.0252187339166239,0.1937870979309082,yes
20240903122652498_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004191114836546521,38.0,42.0,0.1875,1.0252187339166239,0.1937870979309082,yes
20240903122701538_sardine_good_(0).png,yes,17.0,3.0,18.0,15.0,2.0,0.004770992366412214,43.0,45.0,0.17647058823529413,1.023917087430242,0.15816442171732584,yes
20240903122715231_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.0046801872074883,44.0,43.0,0.23529411764705882,1.0336780694775922,0.15860633055369058,yes
20240903122724013_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,1.0,0.004539951573849879,41.0,41.0,0.25,1.0362892223738063,0.1610579490661621,yes
20240903122734689_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,2.0,0.004519433564326604,44.0,40.0,0.23529411764705882,1.037841984147277,0.15890967845916748,yes
20240903124527133_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124527619_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124530183_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124530702_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124531006_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124531406_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124531419_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124531752_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124531850_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124532124_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240903124532348_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004099480732440558,40.0,39.0,0.1875,1.0256926952141059,0.187418262163798,yes
20240912115731172_sardine_good_(0).png,yes,17.0,5.0,18.0,15.0,1.0,0.0045662100456621,45.0,45.0,0.29411764705882354,1.045299816705944,0.1751252810160319,yes
20240912115733048_sardine_good_(0).png,yes,17.0,5.0,18.0,15.0,1.0,0.0045662100456621,45.0,45.0,0.29411764705882354,1.045299816705944,0.1751252810160319,yes
20240912115742333_sardine_good_(0).png,yes,18.0,6.0,19.0,15.0,2.0,0.004571776897287412,46.0,49.0,0.3333333333333333,1.0532746823069403,0.1892183224360148,yes
20240912115756935_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,1.0,0.004654049022649705,47.0,54.0,0.2222222222222222,1.0276738967838444,0.19944361845652261,yes
20240912115806278_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240912115821038_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004339022273647671,38.0,42.0,0.1875,1.0231031766867944,0.1798694133758545,yes
20240912115835812_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.004179437169127891,40.0,43.0,0.1875,1.026118438065684,0.1963969866434733,yes
20240912115847100_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.004548211036992117,44.0,49.0,0.23529411764705882,1.0258397932816536,0.1898388465245565,yes
20240912115936575_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.0046497210167389955,39.0,45.0,0.1875,1.028620492272467,0.16880309581756592,yes
20240912115952686_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.004705144291091593,42.0,51.0,0.23529411764705882,1.0294273594909862,0.18413023153940836,yes
20240912120000951_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.0046641791044776115,45.0,53.0,0.2222222222222222,1.030662200463798,0.1945113738377889,yes
20240912120019085_sardine_good_(0).png,yes,17.0,5.0,18.0,15.0,1.0,0.004345307068366165,43.0,48.0,0.29411764705882354,1.040108937855905,0.20251532395680746,yes
20240912120034397_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004595588235294118,42.0,45.0,0.1875,1.0266232002173323,0.1711750030517578,yes
20240912120047677_sardine_good_(0).png,yes,19.0,5.0,20.0,15.0,1.0,0.005131713992473486,48.0,58.0,0.2631578947368421,1.0376358335542009,0.17606119314829508,yes
20240912120056617_sardine_good_(0).png,yes,17.0,5.0,18.0,15.0,2.0,0.004485645933014354,43.0,49.0,0.29411764705882354,1.0428754813863927,0.19430923461914062,yes
20240912120105898_sardine_good_(0).png,yes,17.0,3.0,18.0,15.0,1.0,0.004641089108910891,41.0,47.0,0.17647058823529413,1.0235849056603774,0.17679210503896078,yes
20240912120116855_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.0048638132295719845,43.0,49.0,0.23529411764705882,1.0262941659819227,0.16509485244750977,yes
20240912120119212_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.0048638132295719845,43.0,49.0,0.23529411764705882,1.0262941659819227,0.16509485244750977,yes
20240912120128904_sardine_good_(0).png,yes,20.0,4.0,20.0,15.0,2.0,0.005124701059104886,54.0,59.0,0.2,1.0240360540811217,0.17977396647135416,yes
20240912120137604_sardine_good_(0).png,yes,18.0,6.0,19.0,15.0,2.0,0.004878048780487805,48.0,54.0,0.3333333333333333,1.052919708029197,0.18259084224700928,yes
20240912120159836_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,2.0,0.004606879606879607,47.0,53.0,0.2777777777777778,1.0363545816733069,0.19901275634765625,yes
20240912120216495_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.00436046511627907,42.0,48.0,0.23529411764705882,1.0298393267023718,0.20227988560994467,yes
20240912120225213_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,1.0,0.004897159647404506,46.0,52.0,0.2222222222222222,1.0313634007257646,0.17388693491617838,yes
20240912120234736_sardine_good_(0).png,yes,19.0,4.0,20.0,15.0,1.0,0.0049586776859504135,48.0,56.0,0.21052631578947367,1.02312282446544,0.18376227219899496,yes
20240912120236187_sardine_good_(0).png,yes,19.0,4.0,20.0,15.0,1.0,0.0049586776859504135,48.0,56.0,0.21052631578947367,1.02312282446544,0.18376227219899496,yes
20240917092152864_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.0049833887043189366,45.0,43.0,0.23529411764705882,1.0365373805508713,0.244364375,yes
20240917092208642_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,3.0,0.0053724928366762174,44.0,46.0,0.17647058823529413,1.0242703533026114,0.224574375,yes
20240917092216974_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,3.0,0.0057692307692307696,47.0,49.0,0.2222222222222222,1.0319901568748078,0.20776909722222223,yes
20240917092226864_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,2.0,0.0057361376673040155,46.0,53.0,0.2777777777777778,1.0351941747572815,0.22582993055555556,yes
20240917092239972_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,3.0,0.006265664160401002,45.0,50.0,0.2222222222222222,1.0267857142857142,0.17839243055555556,yes
20240917092249510_sardine_good_(0).png,yes,21.0,5.0,22.0,15.0,3.0,0.006060606060606061,51.0,55.0,0.23809523809523808,1.0365192582025677,0.20999520833333332,yes
20240917092300213_sardine_good_(0).png,yes,20.0,5.0,21.0,15.0,2.0,0.006177924217462933,52.0,55.0,0.25,1.030437352245863,0.20136152777777777,yes
20240917092319384_sardine_good_(0).png,yes,19.0,4.0,20.0,15.0,3.0,0.00633445945945946,48.0,58.0,0.21052631578947367,1.0255003227888961,0.20273215277777779,yes
20240917092337618_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.005707762557077625,40.0,38.0,0.1875,1.0226726210924082,0.16609402777777776,yes
20240917092347477_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,3.0,0.006263048016701462,43.0,39.0,0.17647058823529413,1.026574444848926,0.14041402777777778,yes
20240917092415680_sardine_good_(0).png,yes,20.0,3.0,20.0,15.0,2.0,0.006038647342995169,50.0,57.0,0.15,1.0181924882629108,0.219346875,yes
20240917092426387_sardine_good_(0).png,yes,19.0,4.0,19.0,15.0,1.0,0.0057273768613974796,48.0,47.0,0.21052631578947367,1.0305480682839174,0.20282868055555556,yes
20240917092455454_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.00495703899537343,43.0,39.0,0.1875,1.0243687610099823,0.22248875,yes
20240917092508447_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.00488440247476392,40.0,37.0,0.17647058823529413,1.024971297359357,0.21769416666666666,yes
